epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6771,1.90135,4.73339,1.23722,0.00048,0.14286,0.00047,5e-05,4.57186,11.6409,3.79427,0.00014,0.00014,0.00014
2,33.874,1.25167,3.40147,1.02094,0,0,0,0,5.78587,489.088,4.97797,0.00029406,0.00029406,0.00029406
3,57.1371,0.93796,2.36205,0.92234,0,0,0,0,6.198,347.038,8.51411,0.000441784,0.000441784,0.000441784
4,74.1257,1.0752,1.72379,0.91189,0,0,0,0,6.15718,3182.25,34.6903,0.000583172,0.000583172,0.000583172
5,102.523,1.29622,1.82251,0.96474,0,0,0,0,6.19231,inf,35.264,0.000718224,0.000718224,0.000718224
6,121.638,1.00062,1.7398,0.94337,0,0,0,0,5.61579,inf,52.2261,0.00084694,0.00084694,0.00084694
7,142.622,0.99419,1.77936,0.957,0,0,0,0,5.85397,3166.88,1276.89,0.00096932,0.00096932,0.00096932
8,246.347,0.86476,3.57324,0.94316,0,0,0,0,5.7921,137.172,340.506,0.00108536,0.00108536,0.00108536
9,298.057,1.10132,1.7087,0.92801,0,0,0,0,5.64415,30.4462,21.7837,0.00119507,0.00119507,0.00119507
10,322.316,1.0156,2.15017,0.92268,0,0,0,0,5.54921,139.049,76.4384,0.00129844,0.00129844,0.00129844
11,348.701,1.06921,1.87612,0.93737,0,0,0,0,6.85618,5688.35,22.3294,0.00139548,0.00139548,0.00139548
12,366.058,0.99052,1.83438,0.8946,0,0,0,0,6.60395,5509.57,8.32897,0.00148618,0.00148618,0.00148618
13,484.799,1.03471,1.47207,0.91038,0,0,0,0,6.6953,inf,12.7847,0.0015248,0.0015248,0.0015248
14,577.446,0.90804,1.26615,0.87898,0,0,0,0,6.4977,2100.66,6.43205,0.0014852,0.0014852,0.0014852
15,659.594,0.91991,1.33777,0.88477,0,0,0,0,5.95299,8.1887,6.22061,0.0014456,0.0014456,0.0014456
16,697.193,0.87488,1.21246,0.92345,0,0,0,0,6.18098,5.42998,7.0259,0.001406,0.001406,0.001406
17,727.283,0.84108,1.09896,0.92847,0,0,0,0,0.07153,160.25,0.20889,0.0013664,0.0013664,0.0013664
18,755.669,0.85829,0.90495,0.87362,0,0,0,0,0.52952,248.625,0.93172,0.0013268,0.0013268,0.0013268
19,783.032,0.80541,0.97401,0.89028,0,0,0,0,0.11194,93.75,0.39869,0.0012872,0.0012872,0.0012872
20,815.563,0.8661,0.99246,0.89439,0,0,0,0,0.16867,2064,1.36778,0.0012476,0.0012476,0.0012476
21,826.782,0.90816,0.89108,0.88964,0,0,0,0,0.41384,1022.5,0.95759,0.001208,0.001208,0.001208
22,863.733,0.84283,0.88352,0.8662,0,0,0,0,1.44325,2712,1.62346,0.0011684,0.0011684,0.0011684
23,898.706,0.80665,0.84625,0.85922,0,0,0,0,6.68784,365.966,7.37705,0.0011288,0.0011288,0.0011288
24,925.647,0.80321,0.81419,0.84117,0,0,0,0,6.32864,19.2849,8.67007,0.0010892,0.0010892,0.0010892
25,951.967,0.79603,0.77553,0.85189,0,0,0,0,6.23579,4.4904,9.10136,0.0010496,0.0010496,0.0010496
26,965.177,0.75435,0.77278,0.8774,0,0,0,0,6.28425,3.97393,9.21235,0.00101,0.00101,0.00101
27,981.639,0.81633,0.76594,0.84222,0,0,0,0,6.30587,4.25994,10.0215,0.0009704,0.0009704,0.0009704
28,998.795,0.80857,0.86425,0.85113,0,0,0,0,6.28638,4.59062,11.4307,0.0009308,0.0009308,0.0009308
29,1014.12,0.68964,0.79957,0.85807,0,0,0,0,6.31314,4.59335,11.3105,0.0008912,0.0008912,0.0008912
30,1030.56,0.77247,0.86274,0.84995,0,0,0,0,6.2352,4.38265,12.4703,0.0008516,0.0008516,0.0008516
31,1077.94,0.7217,0.94675,0.83472,0,0,0,0,6.1905,4.6309,12.7883,0.000812,0.000812,0.000812
32,1097.39,0.64651,0.70291,0.84657,0,0,0,0,6.15694,5.03528,12.1866,0.0007724,0.0007724,0.0007724
33,1119.38,0.67806,0.68335,0.83407,0,0,0,0,6.1367,6.45605,12.1911,0.0007328,0.0007328,0.0007328
34,1143.9,0.7019,0.89074,0.84358,0,0,0,0,6.12557,7.79648,11.9926,0.0006932,0.0006932,0.0006932
35,1165.66,0.66223,0.76365,0.82832,0,0,0,0,6.11527,29.3205,11.9109,0.0006536,0.0006536,0.0006536
36,1181.97,0.6454,0.78149,0.83886,0,0,0,0,6.10758,20.1796,12.2425,0.000614,0.000614,0.000614
37,1193.41,0.64478,0.74774,0.83634,0,0,0,0,6.10108,7.36227,11.9311,0.0005744,0.0005744,0.0005744
38,1206.88,0.67494,0.75695,0.83119,0,0,0,0,6.10029,5.92227,11.78,0.0005348,0.0005348,0.0005348
39,1219.27,0.69906,0.73241,0.85921,0,0,0,0,6.10474,5.32948,11.5946,0.0004952,0.0004952,0.0004952
40,1231.02,0.58993,0.62432,0.8428,0,0,0,0,6.10821,4.7821,11.5559,0.0004556,0.0004556,0.0004556
41,1249.88,0.61904,0.78922,0.8484,0,0,0,0,6.11384,4.55445,11.3461,0.000416,0.000416,0.000416
42,1260.59,0.54767,0.63433,0.84417,0,0,0,0,6.12758,4.67909,10.9311,0.0003764,0.0003764,0.0003764
43,1272.67,0.60533,0.70845,0.82939,0,0,0,0,6.13646,4.77229,10.7312,0.0003368,0.0003368,0.0003368
44,1287.76,0.58368,0.69731,0.84339,0,0,0,0,6.13473,4.85568,10.5989,0.0002972,0.0002972,0.0002972
45,1308.96,0.51076,0.61781,0.83532,0,0,0,0,6.13634,4.93248,10.4462,0.0002576,0.0002576,0.0002576
46,1325.29,0.58255,0.6089,0.82402,0,0,0,0,6.1408,4.98675,10.1499,0.000218,0.000218,0.000218
47,1336.86,0.56762,0.60794,0.82823,0,0,0,0,6.15789,5.0346,9.92841,0.0001784,0.0001784,0.0001784
48,1348.15,0.54619,0.58125,0.83377,0,0,0,0,6.17396,5.08077,9.72156,0.0001388,0.0001388,0.0001388
49,1356.53,0.54832,0.60991,0.81895,0,0,0,0,6.17937,5.10145,9.58724,9.92e-05,9.92e-05,9.92e-05
50,1364.02,0.52287,0.61539,0.81905,0,0,0,0,6.19625,5.13429,9.40935,5.96e-05,5.96e-05,5.96e-05
